actual,predicted
20952,23303.006666666668
30343,100113.71875
23531,35837.81650135257
55789,24995.2744665195
22790,35837.81650135257
24630,100113.71875
19644,23303.006666666668
22556,100113.71875
32181,21862.214285714286
25659,35837.81650135257
21779,35837.81650135257
24036,126468.83947583947
23200,126468.83947583947
20424,24995.2744665195
19978,23303.006666666668
21049,35837.81650135257
23401,24995.2744665195
27416,35837.81650135257
24000,44336.515625
24283,126468.83947583947
23212,35837.81650135257
22692,23303.006666666668
21363,23303.006666666668
21690,23303.006666666668
28616,35837.81650135257
22856,35837.81650135257
31448,23303.006666666668
22408,126468.83947583947
23043,24995.2744665195
25977,24995.2744665195
17721,126468.83947583947
24164,126468.83947583947
30167,126468.83947583947
30378,35837.81650135257
26419,22078.157894736843
20361,35837.81650135257
24145,23303.006666666668
22527,35837.81650135257
26573,35837.81650135257
20954,23303.006666666668
22456,35837.81650135257
22572,23303.006666666668
25183,100113.71875
24226,30937.164705882355
24527,126468.83947583947
18840,35837.81650135257
16246,1196527.8181818181
21470,35837.81650135257
65870,126468.83947583947
20545,23303.006666666668
33762,35837.81650135257
24188,126468.83947583947
20418,35837.81650135257
26046,25274.01818181818
28748,35837.81650135257
22033,126468.83947583947
24445,23303.006666666668
25450,126468.83947583947
22251,126468.83947583947
35210,23303.006666666668
25724,35837.81650135257
18143,121757.75714285714
874924,126468.83947583947
22444,35837.81650135257
23887,24995.2744665195
19476,23303.006666666668
21854,23303.006666666668
1180725,680685.875
22821,126468.83947583947
1524139,126468.83947583947
21699,24995.2744665195
25876,126468.83947583947
32686,121757.75714285714
25131,126468.83947583947
27831,30937.164705882355
24372,126468.83947583947
24666,126468.83947583947
23113,126468.83947583947
29393,24995.2744665195
22568,24995.2744665195
29791,35837.81650135257
22466,23303.006666666668
28890,126468.83947583947
23622,126468.83947583947
22704,126468.83947583947
24303,24995.2744665195
22991,126468.83947583947
24524,35837.81650135257
28792,35837.81650135257
26283,126468.83947583947
22497,24995.2744665195
24927,23303.006666666668
25059,126468.83947583947
1157291,1159067.7
24661,24995.2744665195
25630,23303.006666666668
23396,126468.83947583947
21395,35837.81650135257
24161,35837.81650135257
18533,126468.83947583947
23280,35837.81650135257
20473,23303.006666666668
24964,24995.2744665195
17323,126468.83947583947
17736,25012.125
19159,126468.83947583947
33931,126468.83947583947
22523,23303.006666666668
31534,121757.75714285714
22705,126468.83947583947
24616,126468.83947583947
23554,24995.2744665195
23476,24995.2744665195
24132,24995.2744665195
26827,23303.006666666668
24786,35837.81650135257
30358,24995.2744665195
26056,35837.81650135257
28765,126468.83947583947
23322,126468.83947583947
24820,126468.83947583947
24064,23303.006666666668
24501,24995.2744665195
24313,35837.81650135257
31334,35837.81650135257
24993,35837.81650135257
21402,23303.006666666668
21286,23303.006666666668
22998,126468.83947583947
24839,35837.81650135257
26440,24995.2744665195
1226386,126468.83947583947
24915,35837.81650135257
1153898,1159067.7
30514,24995.2744665195
23077,35837.81650135257
22832,126468.83947583947
21748,23303.006666666668
23409,24995.2744665195
24184,24995.2744665195
20036,35837.81650135257
32610,35837.81650135257
20767,23303.006666666668
24247,126468.83947583947
21608,24995.2744665195
25067,35837.81650135257
406256,121757.75714285714
22184,23303.006666666668
29049,126468.83947583947
1456349,1676235.0967741935
22744,23303.006666666668
36520,126468.83947583947
27610,126468.83947583947
22511,126468.83947583947
1127145,1134545.8
19693,100113.71875
22012,126468.83947583947
14489,23303.006666666668
24559,24995.2744665195
21749,35837.81650135257
29387,126468.83947583947
20015,23303.006666666668
16831,23303.006666666668
21483,35837.81650135257
21660,23303.006666666668
23761,24995.2744665195
24568,35837.81650135257
26198,23303.006666666668
24697,24995.2744665195
26520,24995.2744665195
20835,23303.006666666668
21157,23303.006666666668
24406,126468.83947583947
29317,25274.01818181818
27124,24995.2744665195
22729,23303.006666666668
20953,35837.81650135257
25055,35837.81650135257
21012,23303.006666666668
29499,35837.81650135257
23628,24995.2744665195
21275,22078.157894736843
20578,23303.006666666668
23708,24995.2744665195
25693,24995.2744665195
29104,24995.2744665195
22121,35837.81650135257
17296,126468.83947583947
24833,126468.83947583947
24586,24995.2744665195
22266,25012.125
24283,24995.2744665195
26376,24995.2744665195
21086,35837.81650135257
26302,29635.16417910448
23426,126468.83947583947
27626,35837.81650135257
52684,126468.83947583947
23057,25658.76923076923
21376,35837.81650135257
27638,24995.2744665195
26146,29635.16417910448
28829,126468.83947583947
20222,23303.006666666668
20773,23303.006666666668
26103,24995.2744665195
21894,23303.006666666668
20758,23303.006666666668
25064,35837.81650135257
21250,35837.81650135257
23687,126468.83947583947
16486,126468.83947583947
21520,23303.006666666668
19372,30937.164705882355
28275,35837.81650135257
23310,23303.006666666668
22753,35837.81650135257
27934,25012.125
22154,35837.81650135257
22164,126468.83947583947
31224,121757.75714285714
21214,35837.81650135257
22722,23303.006666666668
32015,23303.006666666668
25481,23303.006666666668
26149,24995.2744665195
28707,24995.2744665195
24640,24995.2744665195
23130,35837.81650135257
21407,126468.83947583947
24781,23303.006666666668
22298,35837.81650135257
2405113,126468.83947583947
22313,23303.006666666668
22187,35837.81650135257
22560,23303.006666666668
27306,23303.006666666668
22737,126468.83947583947
1484987,126468.83947583947
21470,126468.83947583947
22582,35837.81650135257
22109,126468.83947583947
15073,126468.83947583947
22684,35837.81650135257
20301,23303.006666666668
1520985,126468.83947583947
25340,24995.2744665195
30038,126468.83947583947
23830,126468.83947583947
22563,35837.81650135257
28871,126468.83947583947
1621361,126468.83947583947
20496,23303.006666666668
22900,35837.81650135257
17896,126468.83947583947
22704,23303.006666666668
23251,23303.006666666668
29598,24995.2744665195
29455,23303.006666666668
22714,126468.83947583947
22882,35837.81650135257
19511,126468.83947583947
22270,24995.2744665195
21877,23303.006666666668
30231,23303.006666666668
23082,23303.006666666668
25774,35837.81650135257
21301,23303.006666666668
31584,24995.2744665195
24181,24995.2744665195
20510,23303.006666666668
21478,23303.006666666668
29300,126468.83947583947
3037323,3041316.5714285714
24754,24995.2744665195
23442,23303.006666666668
30345,24995.2744665195
21532,1310669.6666666667
